pozisyon,pozisyon_kisa,city,firma,metin,b_sayisi,g_sayisi,sure,urls,Askerlik Durumu:,Company Industry:,Departman:,Eğitim Seviyesi:,Firma Sektörü:,Job Location:,Job Role:,Job Type :,Languages:,Level of education:,Military Status:,Number of vacancies:,Personel Sayısı:,Position Level:,Pozisyon Seviyesi:,Tecrübe:,University Department:,Yabancı Dil:,Years of Experience:,Çalışma Şekli :,Ülke/Şehir:,Üniversite Bölümü:,cluster
Yazılım Geliştirme Mühendisi,develoaper,Kocaeli,Kent Kart Ege Elektronik San. ve Tic. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER VE İŞ TANIMI
·        Üniversitelerin ilgili bölümlerinden (bilgisayar mühendisliği, elektrik ve elektronik mühendisliği, yazılım mühendisliği, yönetim bilişim sistemleri, matematik, istatistik vb.) mezun olan,
·        İyi derecede ingilizce bilen,
·        Dokümantasyon yönetimi konusunda deneyimli olan,
·        Analitik problem çözme yeteneğine sahip olan,
·        Sonuç odaklı çalışma anlayışına sahip olan,
·        Takım çalışmasına uyumlu olan,
·        Yeni teknolojileri takip eden ve kendisini sürekli geliştiren,
·        Kocaeli’de ikamet eden.



Teknik Nitelikler:
·        Yazılım mimari gereksinimlerinin belirlenmesi, tasarım, geliştirme ve alt yapının teknolojik gelişmelere uyarlanması konusunda tecrübe sahibi olan,
·        HTML, CSS, JavaScript, JQuery, JavaScript ve ES6 (ECMAScript 6) konularında ileri derecede bilgi sahibi,
·         
·        UI/UX Konusunda bilgi sahibi,
·        ReactJS/AngularJS veya benzer JavaScript temelli front end teknolojileri ile çalışmış,-
·        Node.js ile back-end development deneyimi olan,
·        İlişkisel veritabanları ve SQL (Oracle-MySQL-PgSql) teknolojileriyle deneyimi olan
·        NoSQL&key-value store systems, MongoDB ve Redis ile deneyimi olan
·        REST API ve GraphQL  hakkında deneyimi olan
·        Farklı platformlarda web ve mobil uygulama geliştirme deneyimi olan adaylar.",100-200,1572,1,https://www.kariyer.net/is-ilani/kent-kart-ege-elektronik-san-ve-tic-a-s-yazilim-gelistirme-muhendisi-2676360,,,Analiz / Araştırma,"Üniversite(Öğrenci), Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",,,,,,,,,Belirtilmemiştir,,,Tecrübeli ya da tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,Kocaeli,,7
Gelir Yönetimi Uzmanı,finans analisti,İzmir(Gaziemir),DOKAY Filo Kiralama,"GENEL NİTELİKLER VE İŞ TANIMI
2005 yılından bu yana 4.000’den fazla araç parkı ile sürdürülebilir büyümesine kalite, güven ve uygun fiyat üçgeninde devam eden DOKAY Filo ve Araç Kiralama’da görevlendirilmek üzere Gelir Yönetimi Uzmanı arayışı bulunmaktadır.
 GÖREV TANIMI
Üniversitelerin İşletme, İktisat, Maliye, İstatistik, Matematik, Endüstri Mühendisliği vb. bölümlerinden mezun,
Veri analiz yönü kuvvetli
Etkin konuşma ve sunum becerisine sahip,
Seyahat engeli olmayan,
İleri düzeyde Excel bilgisi olan,
Analiz, yorumlama ve sunum becerileri gelişmiş, analitik bakış açısına sahip,
Planlama ve organizasyon yeteneğine sahip,
Erkek adaylar için askerlik görevini tamamlamış.
 İŞ TANIMI 
Geçmiş veri ve güncel pazar koşullarına dayanarak geleceğe yönelik talep tahmini yapılması,
Araç parkı, satış teknikleri, fiyatlama, pazarlama vb. araçların etkin yönetimi ile gelirlerin maksimize edilmesi,
Hizmet/Ürünün pazardaki fiyat ve performansının, bölgesel, mevsimsel ve rekabet koşulları dikkate alınarak kontrol edilip çeşitliliği, koşulları ve fiyatlandırma stratejilerinin önerilmesi ve uygulanması,
Ürün/hizmetin fayda analizine dayalı, bütçe bağlantılı süreç yönetimi yapılarak hedeflerinin gerçekleştirilmesi,
Sorumlu olunan Kar Merkezinin Bütçe ve gerçekleşmelerinin hazırlanması/ raporlaması/ kontrolü ve analizi.",200-300,1934,62,https://www.kariyer.net/is-ilani/dokay-filo-kiralama-gelir-yonetimi-uzmani-2720341,"Yapıldı, Muaf",,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Otomotiv,,,,,,,,Belirtilmemiştir,,Uzman,2 - 7 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İzmir(Gaziemir),,3
Veri Analisti,veri analisti,İzmir,ULTRA EMAR SAĞLIK MERKEZİ LTD.ŞTİ.,"GENEL NİTELİKLER VE İŞ TANIMI
İzmir Alsancak bölgesinde hizmet vermekte olan ""ÖZEL SAĞLIK HASTANESİ"" bünyesinde  görevlendirilmek üzere ""Veri Analisti""arayışımız bulunmaktadır.

Üniversitelerin istatistik veya benzer ilgili bölümlerden mezun,
İstatistiksel analiz ve raporlama konusunda deneyimli,
Günlük, haftalık, aylık faaliyet raporları hazırlayabilecek,
MS Office programlarını ileri düzeyde kullanabilen,
İş takibi ve iş sonuçlandırma konusunda başarılı ve sorumluluk sahibi,
Analitik düşünce yapısına sahip,
Takım çalışmasına yatkın,
İş ve sonuç odaklı çalışabilen,
Sorumluluk sahibi ve yoğun iş ortamında dikkatli, plan detaylı çalışabilecek.",50-100,655,2,https://www.kariyer.net/is-ilani/ultra-emar-saglik-merkezi-ltd-sti-veri-analisti-2763210,,,Analiz / Araştırma,Üniversite(Mezun),Sağlık Hizmetleri,,,,,,,,Belirtilmemiştir,,,En az 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İzmir,,1
Analiz ve Entegrasyon Uzmanı,iş analisti,İstanbul(Avr.)(Esenler),Digital Planet,"GENEL NİTELİKLER VE İŞ TANIMI
2000 yılından beri Türk yazılım ve teknoloji sektöründe öncü olan firmamız ""Digital Planet""  bünyesinde görevlendirilmek üzere ""Analiz ve Entegrasyon Uzmanı"" pozisyonunda takım arkadaşı arayışımız bulunmaktadır.

Üniversitelerin Bilgisayar Mühendisliği, Endüstri Mühendisliği, Matematik Mühendisliği, İstatistik veya benzer bölümlerinden mezun,
Tercihen e Dönüşüm (e-Fatura, e-Arşiv, e-Defter vb.) veya ERP tecrübesine sahip,
En az 2 yıl deneyimli,
İyi düzeyde iş akışı analiz araçları ve SQL bilgisine sahip,
Proje yönetimi süreçlerine hakim,
Problem çözme, analitik düşünme ve etkili iletişim yeteneklerine sahip,
Tercihen İyi derecede İngilizce bilgisi bulunan,
Erkek adaylar için askerlik ile ilişiği bulunmayan.

İş Tanımı

Aylık güncellemeler öncesi testleri (bugfix, genel ve etkileşim) yapmak, varsa hataları bulmak ve yazılım ekibine bildirmek,
Yeni müşteriler ile analiz toplantısı yaparak ihtiyacı ve sistemini anlamak, analiz dokümanını hazırlamak,
Şirket içinden ya da mevcut müşteriden yeni talep geldiğinde ihtiyacı anlamak ve analiz dokümanını hazırlamak, ilgili yöneticinin bilgi ve onayıyla yazılım ekibine yönlendirmek,
Müşteriye özel değişikliklerin (görsel, şablon, mapping gibi) analizi, hazırlatılması ve müşteri onayı sonrası müşteri sistemine tanıtılmasını sağlamak,
Yazılımı gerçekleşen taleplerin testlerini yapmak, varsa hataları bulmak ve yazılım ekibine bildirmek,
Yeni yapılan testler için test senaryoları arşivini güncellemek,
İngilizce ve Türkçe kullanım kılavuzları ve sunumları hazırlamak,  
Canlıya geçiş öncesi, müşterinin isteğine göre iş akışları parametrelerini ayarlamak (kime onaya düşecek, format nasıl olacak vb.),
Gerektiğinde geçiş öncesi müşterilere eğitim vermek,
Çağrı Merkezinden açılan çağrıları incelemek, çözmek ve çağrıyı kapatmak,
Gerektiğinde satış aşamasında teknik destek vermek adına müşteri toplantılarına katılmak,
Web servis testleri yapmak ve herhangi bir düzenleme ve revize varsa bunları organize etmek.",100-200,1397,3,https://www.kariyer.net/is-ilani/digital-planet-analiz-ve-entegrasyon-uzmani-2642341,,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun)",Bilişim,,,,,,,,Belirtilmemiştir,,,En az 2 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Esenler),,7
CRM Uzmanı,veri analisti,İstanbul(Avr.)(Büyükçekmece),Aydınlı Hazır Giyim San. Tic. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
CRM UZMANI Arıyoruz!

Dünya modasına yön veren Pierre Cardin, Cacharel ve U.S. Polo Assn. markalarının lisans sahibi, 4500’ü aşkın çalışanı ve 3 kıtaya yayılan mağazaları ile sadece Türkiye’nin değil, yakın coğrafyasının da en büyük hazır giyim perakende şirketlerinden biri olan Aydınlı Grup, renkleri kaliteyle buluşturan, müşteri hizmetine önem veren, çevre bilincine duyarlı, evrensel değerlerine bağlı ve insan odaklı çalışma sistemi ile dünya standartlarında yapılanan bu gücün bir üyesi olmaya ne dersin?

GENEL NİTELİKLER 
Üniversitelerin Mühendislik, İstatistik, Matematik, İşletme bölümlerinden mezun,
CRM süreçleri hakkında en az 3 yıllık deneyime sahip,
Analitik ve sistematik düşünce yapısına sahip,
Takip ve süreç izleme yeteneği gelişmiş, planlama ve organizasyon konusunda yetkin,
MS Office programlarını iyi derecede kullanabilen,
MS Excel’de Fonksiyon, Özet Tablo, Veri Çözümleme ve Makro araçlarını çok iyi düzeyde kullanabilen,
SQL bilgisi olan,
Tercihen bir veri madenciliği programı bilgisine sahip, (R, Phyton, SPSS vb.)
İyi derecede İngilizce bilgisi olan,
Tercihen İstanbul Avrupa yakasında ikamet eden, (Çalışma yeri Büyükçekmece’dedir.)
 İŞ TANIMI
Sistem altyapısında bulunan müşterilere ait bilgilerin veri tabanında yönetilmesi ve güncellenmesini sağlayacak,
Veritabanı ile ilgili raporları gerçekleştirir ve ilgili birimlerle paylaşacak,
Müşteri kullanımlarını ve eğilimlerini analiz edecek ve raporlayacak,
Programın kampanya yönetim platformunu kullanarak kampanyaları tanımlayacak, yönetecek ve raporları sunacak,
Müşteri İlişkileri Yönetimi operasyonlarına ait hedef performans göstergelerinin belirlenmesini ve bu hedefler doğrultusunda aksiyonlar alınmasını sağlayacak,
Sadakat programının ve müşteri deneyiminin sürekli geliştirilmesi için fikir üretecek ve destek olacak,
Müşteri veritabanları altyapısının geliştirilmesine yönelik uygulamaları oluşturacak ve yürütecek,
Mail, SMS, Kişiselleştirilmiş Mobil Push kanallarını yönetecek,
CRM Departmanı’mızda görevlendirilmek üzere “CRM Uzmanı” arayışımız bulunuyor.
Haydi Sen de başvur! Aydınlı ’da Her Sezon Kariyer Moda.",50-100,975,33,https://www.kariyer.net/is-ilani/aydinli-hazir-giyim-san-tic-a-s-crm-uzmani-2740459,Yapıldı,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Perakende,,,,,,,,Belirtilmemiştir,,Uzman,En az 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Büyükçekmece),"İstatistik,Matematik",0
Dijital Dönüşüm Müdürü,develoaper,Tekirdağ(Çorlu),Modern Karton San. ve Tic. A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
 Sektöründe, Türkiye'nin en büyük kağıt üreticisi konumunda, Avrupa'nın ise en büyükleri arasında yer alan, dünyanın en gelişmiş teknolojilerine sahip firmamızın Çorlu'da bulunan fabrikasında ""Dijital Dönüşüm Müdürü""  olarak görevlendirilmek üzere,
 ARANAN NİTELİKLER
·       Üniversitelerin Bilgisayar, Endüstri, Matematik Mühendisliği, İstatistik, işletme bölümlerinden mezun,
·       Farklı sektörlerde faaliyet gösteren firmaların inovasyon, stratejik planlama, Endüstri 4.0 ve Dijital Dönüşüm projelerinde yer almış en az 5 yıl tecrübesi olan,
·       Girişimci networkü, hızlandırma programları, inkübasyon merkezleri ile bağlantıları olan, daha önce en az bir tanesinde mentör olarak görev almış olan,
·       Bütçe ve fizibilite analizlerine katkıda bulunabilme becerisine sahip,
·       Şirketlerin operasyonlarını ve müşteri ihtiyaçlarını değerlendirebilme ve iyileştirme fikirleri türetebilme becerisine sahip,
·       Çok iyi seviyede yazılı ve sözlü İngilizce bilgisi olan,
·       Sonuç odaklı ve yaratıcı, analitik düşünme ve sistem kurma yeteneğine sahip, takım çalışmasına yatkın,
·       Erkek adaylar için askerlik hizmetini tamamlamış,
·       Tekirdağ Çorlu civarında ikamet eden / edebilecek,
 “Dijital Dönüşüm Müdürü” aramaktayız.
  İŞ TANIMI
 .       ERP ile entegre yürütülen projelerde proje yönetimi, analiz, test ve teknik tasarım süreçlerinin kurgulanması,
·       Ek geliştirme taleplerinin sistem analizinin ve teknik tasarımının yapılması,
·       Geliştirilen yazılımların test süreçlerinin takip edilmesi,
·       Sonuçların yazılımcılarla paylaşılarak geliştirmenin tamamlanmasının sağlanması,
·       Dış kaynak yazılım ekiplerinin koordinasyonunun sağlanması,
·       Şirket içerisinde ekipler ile birlikte çalışarak yeni dijital dönüşüm projelerinin desteklenmesi/geliştirilmesi.
·       Fark yaratacak dijital dönüşüm projelerinde fikir aşamasından başlayarak nihai hale gelene kadar ki tüm aşamalara liderlik edilmesi. Dijital projelerin iyileştirilmesi için dünyadaki gelişmelerin takip edilmesi,
·       Kurum içi girişimlere mentörlük yapılması,
·       Portföyde yer alan inisiyatiflerin şirketin stratejik hedefleri doğrultusunda, destek, operasyonel ve finansal performanslarının aylık bazda takibinin yapılması, belirlenen KPI’ların, hedeflerin, gerçekleşmelerin takip edilmesi.",0-50,365,7,https://www.kariyer.net/is-ilani/modern-karton-san-ve-tic-a-s-dijital-donusum-muduru-2758971,,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",,,,,,,,,Belirtilmemiştir,,,En az 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,Tekirdağ(Çorlu),,0
Raporlama Uzmanı,veri analisti,İstanbul(Avr.),BRF GROUP,"GENEL NİTELİKLER VE İŞ TANIMI

İŞ TANIMI 
Satış-pazarlama ve destek departmanlarının iş süreçleri ile ilgili verileri toparlayarak bağlı bulunduğu yöneticisine raporlanması,
Data verimliliğinin incelenmesi ve raporlanması,
Mevcut dataların analizlerini yaparak reklam çalışmaları için yorumlarda bulunulması,
 Operasyonel verilerin analiz edilmesi ve raporlanması,
Verilerin elde edildikten sonra, istatistiki sonuçlarının elde edilmesi, yorumlanması ve raporlanması,


GENEL NİTELİKLER 

Üniversitelerin lisans bölümlerinden mezun, 
Raporlama konusunda 3-4 yıl deneyimli, 
İleri derecede Excel bilgisine sahip, 
Problem çözme konusunda yetenekli, sonuç ve çözüm odaklı,
Analitik düşünme, sentez ve sunum yeteneği gelişmiş,
Stratejik bakış açısına sahip, iletişim yeteneği güçlü,
Gelişime açık, proaktif, sonuç ve çözüm odaklı, 
Tercihen İngilizce bilen,
Avrupa yakasında ikamet eden
Daha önce bankacılık, FMCG, tüketici elektroniği veya gıda perakendesi sektörlerinde deneyimli.

Çalışma lokasyonu : İstanbul Eyüp",1500-2000,8813,10,https://www.kariyer.net/is-ilani/brf-group-raporlama-uzmani-2355041,Muaf,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",,,,,,,,,Belirtilmemiştir,,Uzman,3 - 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.),,1
Veri Analiz Uzmanı,veri analisti,Ankara,Sektöründe Lider Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Genel Nitelikler
Üniversitelerin İstatistik, Endüstri Mühendisliği vb. lisans bölümlerinden mezun,
Veri analizi, iş zekası ve uygulamaları hakkında en az 2 yıl profesyonel deneyim sahibi,
İyi derece SQL, MS Office bilgisine sahip,
Tercihen Java, Pyhton vb. programlama dillerine hakim,
Tercihen SPSS, R, Statistica vb. istatistiksel araçları kullanabilen,
Çok iyi düzeyde yazılı ve sözlü İngilizce ifade yeteneğine sahip,
Stratejik bakış açısına sahip, dikkatli ve sonuç odaklı çalışabilen,
Etkin ve etkili iletişim kurabilen,
Ekip çalışmasına yatkın,
Esnek çalışma saatlerine uyum sağlayabilecek,
Erkek adaylar için askerliğini tamamlamış veya en az 2 yıl tecilli.

Görev Tanımı
Gerekli verilerin ilgili kaynaklardan zamanında ve uygun yöntemlerle toplanmasını sağlamak,
Büyük ölçekli veriler üzerinde çalışmak,
Analiz çalışmalarının dokümantasyonunu sağlamak,
Veri temizleme, zenginleştirme ve tekilleştirme süreçlerini ilerletmek,",750-1000,11240,10,https://www.kariyer.net/is-ilani/sektorunde-lider-firma-veri-analiz-uzmani-2494269,"Tecilli, Muaf, Yapıldı",,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Hizmet,,,,,,,,Belirtilmemiştir,,,En az 2 yıl tecrübeli adaylar,,"İngilizce( Okuma : İleri, Yazma : İleri, Konuşma : İleri)",,Sürekli / Tam zamanlı,Ankara,"Ekonometri,Endüstri Mühendisliği,İstatistik,İstatistik ve Bilgisayar Bilimleri,Matematik",0
Raporlama Uzman/Uzman Yardımcısı,veri analisti,İstanbul(Avr.)(Sarıyer),Akademetre Research & Strategic Planning,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Ekonometri, İstatistik bölümlerinden mezun,
Pazar araştırma sektöründe, raporlama ve veri analiz süreçlerinde en az 1-2 yıl deneyimli
İleri düzeyde SPSS ve Excel programını kullanabilen,
Tercihen iyi derecede İngilizce bilen
Araştırma sektörüne ilgi duyan ve bu alanda kariyer hedefi olan
Analitik düşünebilme, iletişim ve sorun çözme becerilerine sahip olan
Zaman yönetimi kuvvetli
Kendine güveni yüksek, temsil yeteneği yüksek ve etkili sunum yapabilme becerilerine sahip olan,
Erkek adaylar için askerlik hizmetini tamamlayan.
Maslak'a ulaşım problemi olmayan.
İŞ TANIMI
SPSS veritabanı üzerinden verilerin, analiz edilmesi raporlanması ve kontrol edilmesi,
Data Process süreçlerinin gerçekleştirilmesi, 
Araştırma projesine uygun biçimde rapor hazırlanması. ",100-200,1318,13,https://www.kariyer.net/is-ilani/akademetre-research-strategic-planning-raporlama-uzman-uzman-yardimcisi-2753598,Yapıldı,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun)",Araştırma Hizmetleri,,,,,,,,1,,Uzman Yardımcısı,1 - 4 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Sarıyer),,0
Raporlama & Veri Sorumlusu,veri analisti,Adana(Seyhan),ADA ANALİZ VE DANIŞMANLIK TİCARET SANAYİ LİMİTED ŞİRKETİ,"GENEL NİTELİKLER VE İŞ TANIMI
Genel Nitelikler
·       Üniversitelerin Mühendislik, İstatistik , İşletme bölümlerinden mezun,
·       Tercihen Sağlık sektörü tecrübesine sahip,
·       MS Office programlarını (Excel, Word, PowerPoint vs.) ileri derecede kullanabilen,
·       Analitik düşünebilen, çözüm odaklı , detaylara önem veren ve sorumluluk alabilen,
·       Tercihen temel seviyede yazılım kodlamaları bilgisine sahip
·       Yönetsel ve organizasyonel becerisi gelişmiş
·       Dikkatli, süreç ve zaman yönetimi becerilerine sahip,
 İş Tanımı
·       Firmamız özel yazılımlarında toparlanan dataların analiz edilerek raporlanması.
·       Şirketlerin raporlama takvim süreçlerine, raporlama prosedürlerine ve belirlenen hedeflere uyumluluğunun takibinin ve kontrolünün yapılması,
·       Bağlı bulunulan birimin performansına ve uygulamaların sonuçlarını ölçümlemeye yönelik anlık, periyodik ve özel raporlamaları hazırlamak ve gerekli analizlerle detaylandırmak
·       Rapor ihtiyaçlarının belirlemek,  LabIQ, PBIQ, PathIQ  raporlama araçlarıyla rapor tasarlamak ve geliştirmek
·       Yöneticinin belirleyeceği koşullarda yeni raporlama metodolojilerini geliştirmek, süreç oluşturulmasına destek vermek,
·       Güncel ve geçmiş verileri analiz ederek operasyon için gerekli planlama ve raporlamaları hazırlamak, gerekli aksiyonların alınmasına yardımcı olmak, yönlendirici olmak",100-200,1339,13,https://www.kariyer.net/is-ilani/ada-analiz-ve-danismanlik-ticaret-sanayi-limited-s-raporlama-veri-sorumlusu-2753565,Yapıldı,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun)","Sağlık, Sağlık Hizmetleri, Proje Yönetimi, Danışmanlık, Yönetim Danışmanlığı",,,,,,,,1,,Eleman,Tecrübeli ya da tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,Adana(Seyhan),"Endüstri Mühendisliği,İşletme,İstatistik,İstatistik ve Bilgisayar Bilimleri",1
Veri Analisti,veri analisti,Tekirdağ(Çorlu),Modern Karton San. ve Tic. A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
Sektöründe, Türkiye'nin en büyük kağıt üreticisi konumunda, Avrupa'nın ise en büyükleri arasında yer alan, dünyanın en gelişmiş teknolojilerine sahip firmamızın Çorlu'da bulunan fabrikasında ""Veri Analisti"" olarak görevlendirmek üzere;

Bilgisayar Mühendisliği, Endüstri Mühendisliği, Matematik Mühendisliği, Matematik, Ekonometri veya İstatistik bölümlerinden mezun, tercihen ilgili konuda yüksek lisans, doktora öğrencisi veya mezunu,
Veri Analitiği ve Yapay Öğrenme projelerinde en az 2 yıl deneyimli,
İstatistiksel analiz, optimizasyon ve yapay öğrenme araçlarının/kütüphanelerinin bir veya birkaçını kullanarak ileri analizler ve modeller geliştirme konusunda deneyimli,
SQL ve veritabanı yapıları konusunda deneyimli,
Python, ve/veya Java, R, Matlab vb. dillerde deneyimli,
Tercihen Derin Öğrenme algoritmaları ve frameworkleri konusunda deneyimli
İyi derecede yazılı ve sözlü İngilizce bilgisine sahip,
İletişim becerileri iyi, takım çalışmasına yatkın,
Araştırmaya, teknoloji ve yeniliklere, kendini ve işini geliştirmeye tutkulu
Ekip çalışmasına yatkın, yenilikçi ve sonuç odaklı
İş Uygulamaları projelerinde analizi, fonksiyonel tasarım, test deneyimi olan,
Çorlu veya civarında ikamet eden/edebilecek,
takım arkadaşları aranmaktadır.

İŞ TANIMI :
İstatistiksel analiz, yapay öğrenme, optimizasyon modelleri hazırlamak, yeni teknolojileri araştırıp uygulamak,
Departmanların ihtiyacı olan alanlarda ve fırsatlarda analitik projeler geliştirmek, katkı sağlayıp yönetmek,
Veri bilimi çalışmaları kapsamında makine öğrenmesi algoritmaları kullanarak alanlarında en doğru kararların alınmasını sağlamak.
Farklı kaynaklardan veri toplamak, toplanan verileri temizlemek ve yorumlamak için çözüm ve modeller oluşturulmasını sağlamak.
Gereksinimleri anlayarak doğru analitik çözümleri geliştirebilmek için farklı seviye ve yetkinlikten insanlarla bir arada çalışmak.
Kurum içi veya dışı farklı veri kaynaklarının kullanım fırsatlarını araştırmak.
Projelerin dökümantasyon ve raporlamalarını hazırlamak
İhtiyaç analizi ve kavramsal tasarım çalışmalarının yürütülmesi",50-100,1533,16,https://www.kariyer.net/is-ilani/modern-karton-san-ve-tic-a-s-veri-analisti-2750342,,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun), Doktora(Mezun)",Kağıt- Oluklu Mukavva,,,,,,,,Belirtilmemiştir,,Uzman,En az 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,Tekirdağ(Çorlu),,1
Gelir Uzmanı,finans analisti,İzmir(Bayraklı),ALC FİLO KİRALAMA,"GENEL NİTELİKLER VE İŞ TANIMI

2009 yılından bu yana 1.500’den fazla araç parkı ile sürdürülebilir büyümesine kalite, güven ve uygun fiyat üçgeninde devam eden ALC Filo ve Araç Kiralama’da görevlendirilmek üzere Gelir Yönetimi Uzmanı arayışı bulunmaktadır.
 GÖREV TANIMI
Üniversitelerin İşletme, İktisat, Maliye, İstatistik, Matematik, Endüstri Mühendisliği vb. bölümlerinden mezun,
Veri analiz yönü kuvvetli
Etkin konuşma ve sunum becerisine sahip,
Seyahat engeli olmayan,
İleri düzeyde Excel bilgisi olan,
Analiz, yorumlama ve sunum becerileri gelişmiş, analitik bakış açısına sahip,
Planlama ve organizasyon yeteneğine sahip,
Erkek adaylar için askerlik görevini tamamlamış.
 İŞ TANIMI 
Geçmiş veri ve güncel pazar koşullarına dayanarak geleceğe yönelik talep tahmini yapılması,
Araç parkı, satış teknikleri, fiyatlama, pazarlama vb. araçların etkin yönetimi ile gelirlerin maksimize edilmesi,
Hizmet/Ürünün pazardaki fiyat ve performansının, bölgesel, mevsimsel ve rekabet koşulları dikkate alınarak kontrol edilip çeşitliliği, koşulları ve fiyatlandırma stratejilerinin önerilmesi ve uygulanması,
Ürün/hizmetin fayda analizine dayalı, bütçe bağlantılı süreç yönetimi yapılarak hedeflerinin gerçekleştirilmesi,
Sorumlu olunan Kar Merkezinin Bütçe ve gerçekleşmelerinin hazırlanması/ raporlaması/ kontrolü ve analizi.",100-200,830,19,https://www.kariyer.net/is-ilani/alc-filo-kiralama-gelir-uzmani-2748508,Yapıldı,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Leasing / Finansal Kiralama,,,,,,,,Belirtilmemiştir,,Uzman,3 - 7 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İzmir(Bayraklı),İşletme Yönetimi,3
