Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
3 - 25 yıl tecrübeli adaylar,NaN,Turizm,Kat Hizmetleri Müdürü,Muğla,ISR TURİZM İŞLETMELERİ VE TİC.A.Ş. HILTON BODRUM,"GENEL NİTELİKLER VE İŞ TANIMI
İŞ TANIMI
Öncelikle önbüro olmak üzere tüm departmanlarla gerekli koordinasyon çerçevesinde departmanını sevk ve idare etmek.
Personelin çalışma programlarını hazırlamak.
Personel için eğitim programları hazırlayıp uygulamaya koymak.
Personeli ile periyodik toplantılar yapıp, bilgi alışverişini sağlamak. Öne sürülen sorunlara çözüm üretmek ve personelin moral motivasyonunu en üst düzeyde tutmak.
Kat hizmetleri ile ilgili bütçe çalışmalarında, Muhasebe Müdürlüğü ve Genel Müdürle koordinasyon içerisinde olmak.
Kat hizmetleri departmanını, belirlenen bütçe doğrultusunda yönetmek.
Kat Hizmetleri departmanına dair harcamaları günlük, haftalık, aylık, sezonluk ve yıllık olmak üzere istatistiki çalışmalarla gözlemleyip, gerektiğinde önlemler almak.
Misafir odaları, kat koridorları, genel alanlar, ofisler, çamaşırhane gibi alanların genel görünümü, düzeni, temizliği ve hijyeninden sorumlu olmak.
Kat hizmetleri için belirlenecek kimyasal, araç – gereç ve tekstil seçiminde satınalma, muhasebe ve genel müdürlükle koordinasyon içerisinde olmak.
Kat hizmetleri depolarının stok seviyeleri, düzenleri ve temizliğinden sorumlu olmak.
Günlük, haftalık, aylık, sezonluk,  yıllık temizlik ve hijyen programları hazırlayıp uygulamaya koymak.
Çamaşırhaneyi belirlenen standartlar ve bütçe çerçevesinde işletmek.
Çamaşırhanede kullanılan makinaların çalışma sistemlerinden bilgi sahibi olmak.
Çamaşırhanede kullanılan makinaların bakım onarım ihtiyaçları konusunda teknik servisle koordinasyon içerisinde olmak.
Kullanılacak tekstil ürünlerinin “par stok” seviyelerini belirlemede F&B ve genel müdürlükle koordinasyon içerisinde olmak.
Kat hizmetlerinde yapılan haftalık, aylık ve yıllık envanterlerin sağlıklı yürütülmesi için gerekli organizasyonları yapmak.
Otelin tekstil ihtiyaçlarının tespiti, seçimi ve kullanımından  sorumlu olmak.
Otelin kullanılan tüm tekstil ürünlerinin kullanımını denetlemek ve zayiatların en makul düzeyde olmasını sağlamada gerekli önlemleri almak.
Otel personeli için, üniforma seçiminde, satınalma ve genel müdürlükle koordinasyon içerisinde olmak.
Üniformaların sistemli bir şekilde personele dağıtımını tesis etmek ve personeli üniforma kullanımı konusunda denetlemek.
Odalara verilen özel hizmetler olan, VIP, balayı, doğum günü, evlilik yıldönümü gibi uygulamaların belirlenen standartlar çerçevesinde yapılmasını sağlamak.
Kat hizmetleri departmanın genelini ilgilendiren bakım – onarım ihtiyaçlarını belirleyip teknik müdürlüğe iletmek.",500-750,5740,44
Tecrübeli ya da tecrübesiz adaylar,NaN,Planlama,Uzun Dönem Stajyer (Planlama),İstanbul(Avr.),Deloitte,"GENEL NİTELİKLER VE İŞ TANIMI
Deloitte, dünya çapında 286.000'den fazla uzmanı ile 150’den fazla ülkede, birçok farklı endüstride faaliyet gösteren özel ve kamu sektörü müşterilerine denetim, danışmanlık, finansal danışmanlık, risk danışmanlığı, vergi ve ilgili alanlarda hizmet sağlayan dünyanın önde gelen profesyonel hizmetler firmaları arasındadır.
Denetim Bölümü altında yer alan Planlama Departmanı bünyesinde değerlendirmek üzere aşağıdaki özelliklere sahip “Stajyer” arayışımız bulunmaktadır;
Genel Nitelikler
4 yıllık üniversitelerin mühendislik veya istatistik bölümlerinden mezun veya minimum 4 gün destek verebilecek son sınıf öğrencisi ya da yeni mezun,
Tercihen iş zekası ve raporlama toollarında (Qlikview, Qliksense, PowerBI etc.) deneyim sahibi
Organizasyon, planlama ve takip yönü kuvvetli,
İletişim becerileri kuvvetli, diksiyonu düzgün,
Takım çalışmasına yatkın, bilgi paylaşımına ve gelişimine açık, işbirliğine önem veren ve etkin iletişim kurabilen,
Olaylara sistematik bakış açısıyla yaklaşan, kalıcı ve sürekli sistemler kurmaya odaklı olarak çalışan,
Raporlama ve sunum becerileri gelişmiş, planlı ve düzenli bir kişiliğe sahip,
MS Office programlarını etkin kullanabilen,
Analitik düşünce gücüne sahip.
Rol ve Sorumluluklar
Planlamaya gelen taleplerin takip edilmesi ve sonlandırılmasıperiyodik raporların hazırlanması takibi ve geliştirilmesi,
Yürütülen projelerde ilgili iş kolları ile iletişim ve koordinasyonun sağlanması,
İş zekası ekibiyle beraber çalışarak geliştirilen çözümlere destek olunması,
Planlama yazılımları konusunda yeniliklerin takip edilmesi, uygulanması istenen yeniliklerin tanımlanması ve uygulanması için yazılım ekipleri ile yakın koordinasyon içerisinde çalışılması.",1500-2000,10064,34
3 - 6 yıl tecrübeli adaylar,"Yapıldı, Muaf",Finans,Aktüerya Yetkilisi,İstanbul(Asya)(Ümraniye),Gulf Sigorta A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Gulf Sigorta bünyesinde görevlendirilmek üzere aşağıdaki niteliklere sahip ""Aktüerya Yetkilisi"" arayışımız bulunmaktadır.
GENEL NİTELİKLER
·      Tercihen üniversitelerin Aktüerya, Matematik Mühendisliği, Matematik, İstatistik bölümlerinden mezun,
·      Sigorta sektöründe ve hayat-dışı aktüerya alanında en az 3 yıl deneyimi olan,
·      Rezerv çalışmalarında deneyimi olan,
·      Sigortacılık mevzuatı/yönetmelikleri hakkında bilgi sahibi,
·      Tercihen rezerv çalışmaları için ResQ programı kullanabilen ve SQL bilgisi olan,
·      MS Office programlarına hakim,
·      İyi derecede İngilizce bilen,

İŞ TANIMI
·      Yurtdışı ve yurtiçi teknik reserv çalışmalarının yapılması,
·      IFRS 17 geçiş sürecinde aktüeryal çalışmaların yapılması,
·      Yıllık bütçe ve forecast çalışmalarının yürütülmesi,
·      Veri tabanı kalitesinin ve veri hazırlık süreçlerinin iyileştirilmesi,
·      Şirket içi/grup içi raporlamaların hazırlanması,
·      Mevzuat değişikliklerinin takip edilmesi ve etki analizlerinin yapılması",50-100,494,3
10 - 20 yıl tecrübeli adaylar,"Yapıldı, Muaf",Muhasebe,"Bütçe, Maliyet ve Raporlama Takım Lideri",Bursa(Nilüfer),Aktaş Holding,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin ilgili bölümlerinden mezun (İşletme, İktisat, Ekonometri, İstatistik, Matematik, Endüstri Mühendisliği v.b) 
Bütçe, Raporlama ve Maliyetlendirme alanlarında en az 10 yıl  deneyime sahip,
SAP BW ve SAP Finansal modülllerini etkin şekilde kullanabilen,
Genel muhasebe ve tek düzen hesap planına hakim,
Masraf merkezi, kâr merkezi muhasebesi ve raporlamaları ile ilgili deneyim sahibi,
İleri seviyede MS Office programlarını kullanabilen,
Problem çözme becerileri gelişmiş, ilişki yönetimi, raporlama ve analiz etme yeteneği güçlü, ekip çalışmasına yatkın,
İyi seviyede İngilizce bilgisine sahip

İŞ TANIMI
Bütçe uygulama süreç ve standartlarının gerçekleştirilmesi ve ilgili süreçlerdeki iyileştirme çalışmlarının yürütülmesi
Periyodik olarak mali tabloların hazırlanması
Gider analizlerinin gerçekleştirilmesi, bulguların raporlanması ve sonuçlarının takip edilmesi
Karlılık analizleri ve fizibilite çalışmalarının gerçekleştirilmesi
Muhasebe-Finans departmanı ile koordineli çalışması
Bütçe, Malieytlendirme ve Raporlama süreçlerinin gerçekleştirilmesi",1000-1500,21068,7
En az 3 yıl tecrübeli adaylar,Yapıldı,Satış,Dış Ticaret Uzmanı,İzmir(Torbalı),E.Özgörkey Grubu,"GENEL NİTELİKLER VE İŞ TANIMI
E.Özgörkey Şirketler Grubu bünyesinde bulunan Feast Gıda'da görevlendirilmek üzere 'Dış Ticaret Uzmanı' takım arkadaşı aramaktayız.
Üniversitelerin ilgili bölümlerinden mezun,
İyi derecede İngilizce bilen,
MsOffice programlarını etkin olarak kullanabilen, 
Benzer pozisyonda minimum 3 yıl tecrübe sahibi,
Tercihen dondurulmuş gıda ya da gıda alanında tecrübe sahibi,
Dış ticaret mevzuatına ve Devlet yardımları/Teşvik konularına hakim,
Yurt dışı satış konusunda deneyimli,
İzmir'de ikamet eden veya edebilecek,
Düzenli çalışan, iyi iletişim becerilerine sahip ve takım çalışmasına yatkın,
Erkek adaylar için askerlik hizmetini tamamlamış.

İŞ TANIMI
Yurt dışı ile ilgili yazışmaların takibi ve maliyet hesaplarının yapılması,
İhracat mevzuatının takip edilmesi, ihracat yapılan ülkelerdeki ithalat ve vergi mevzuatının takip edilmesi,
İhracat ve ithalat ile ilgili konularda pazar araştırması yapılması ve yeni pazarlar oluşturulup, satış faaliyetlerinin sürüdürülmesi, 
Talep edilen müşteri ve ihracat pazar özelliklerinin araştırılması,
İthalat prosedürlerinin yürütülmesinin takip ve kontrol edilmesi,
Müşteri taleplerinin yaratılması konusunda çalışmalar yapılması,
Dış ticaret istatistiklerinin raporlanması,
Sektör ve ürünler ile ilgili, yurt içi ve yurt dışı kaynaklı bilgilerin raporlanması,
Türkiye ve Dünya piyasalarında oluşan değişim ve gelişmelerin incelenmesi,
İhracat ürünleri ile ilgili oluşturulacak standartların belirlenmesi,
İhracat, ithalat prosedürlerinin ve rejimlerinin takip, kontrol edilmesi.",1000-1500,7405,52
En az 2 yıl tecrübeli adaylar,Yapıldı,Planlama,Raporlama Uzmanı,"İstanbul(Avr.), İstanbul(Asya)",FLO MAĞAZACILIK VE PAZARLAMA A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI

Üniversitelerin istatistik, işletme, iktisat, Endüstri Mühendisliği bölümlerinden mezun,
Benzer pozisyonda en az 2 yıl deneyimli,
Tercihen perakende sektöründe tecrübeli ve SAP bilen,
Tercihen ERP projelerinde deneyim sahibi,
MS Office programlarını (özellikle MS Excel ve istatistikle ilgili programları) etkin kullanabilen,
Analitik düşünme ve yorumlayabilme yeteneğine sahip,
Problem çözme ve karar alma yeteneği gelişmiş,
Hızlı büyüme ve değişimi yönetebilen, planlı ve detaylı çalışmaya yatkın.

Yönetim Kurulu ve İcra kurulu gibi üst düzey raporlamaları hazırlamak,
Süreç geliştirme ve iyileştirme çalışmalarına katkı sağlamak,
İhtiyaç duyulan tüm raporlamaları hazırlamak, sunmak ve geliştirmek,
Günlük, haftalık, aylık dashboard’ları hazırlamak.",750-1000,3297,39
4 - 7 yıl tecrübeli adaylar,Yapıldı,Mühendislik,İş Sağlığı ve Güvenliği Uzmanı,İstanbul(Avr.),Karadeniz Holding A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
1948 yılında kurulan Karadeniz Holding başta Enerji, Finans, Turizm ve Gayrimenkul sektörleri olmak üzere çeşitli sektörlerde faaliyet göstermektedir. Grubumuz dünyada ilk Powership (yüzer santral) filosunun sahibi, operatörü ve üreticisi olup 1.600'ü aşkın çalışanımızla Avrupa, Orta Doğu, Afrika ve Asya kıtalarında yer alan 16 farklı ülkede, orta ve uzun vadeli yatırımlarıyla aktif rol oynamaktadır.


  İş Sağlığı, Güvenliği ve Çevre Koordinatörlüğü bünyesinde Holding merkezimizde ve denetim amaçlı yurt dışında faaliyet gösteren yüzer santrallerimizde (Powership) görevlendirmek üzere;
·        Üniversitelerin mühendislik fakültelerinden mezun,
·        Tercihen enerji, üretim, petrol&doğal gaz, denizcilik, tersanecilik veya benzer endüstri kollarında en az 4 sene İSG Uzmanı ve benzeri görev tecrübesi olan,
·        Çok iyi derecede İngilizce bilen (yazılı ve sözlü sınavla seviye tespiti yapılacaktır),
·        Tercihen B sınıfı olmak üzere en az C sınıfı İş Sağlığı ve Güvenliği Uzmanlığı belgesine sahip olan,
·        İş Sağlığı ve Güvenliği yönetim sistemlerine hakim,
·        Risk yönetimi ve değerlendirmesi süreçlerini yürütmüş,
·        Ulusal İş Sağlığı ve Güvenliği yasa ve yönetmeliklerine hakim,
·        Kurum içi İş Sağlığı ve Güvenliği denetimlerine katılmış,
·        Etiketleme -Kilitleme ve iş izin sistemlerine hakim,
·        Yurtiçi / yurtdışı seyahat engeli olmayan,
·        MS Office uygulamalarını iyi derecede kullanabilen,
·        Erkek adaylar için askerlik görevini tamamlamış,
 “İŞ SAĞLIĞI VE GÜVENLİĞİ UZMANI” arayışımız bulunmaktadır

        
·        İş Sağlığı ve Güvenliği yönetim sistemlerinin iyileştirilmesi ve geliştirilmesi süreçlerine destek olmak,
·        Denetim programlarının geliştirilmesi ve uygulanması süreçlerine katılmak,
·        İş Sağlığı ve Güvenliği eğitim gereksinimlerinin belirlenmesinde, hazırlanmasında ve verilmesinde destek olmak,
·        İş Sağlığı ve Güvenliği istatistiki bilgilerinin konsolidasyonu ve raporlanmasını yürütmek,
·        Olay araştırma ve analiz süreçlerine destek olmak,
·        Risk yönetimi ve risk analizi süreçlerinde destek olmak,
·        Kullanılan İSG yazılımının globaldeki tüm data girdilerinin kontrolü ve takibini yapmak,
·        İSG Katip üzerinden ofis için atamasının yapılacağı şirketlerde 6331 sayılı kanun ve alt yönetmelikleri gereği İş Sağlığı ve Güvenliği Uzmanı görevlerini icra etmek,",300-500,3098,34
En az 2 yıl tecrübeli adaylar,Yapıldı,Bilgi Teknolojileri / IT,Bilgi Teknolojileri Sorumlusu,İstanbul(Avr.)(Sarıyer),İnnova Bilişim Çözümleri A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
İnnova Bilişim Çözümleri A.Ş, farklı teknolojilerde bilgi birikimine sahip 1400’ün üzerindeki profesyonel kadrosu ile Türkiye’nin önde gelen bilişim çözümleri firmasıdır. 1999’dan bugüne telekomünikasyon, finans, üretim, kamu ve hizmet sektörleri başta olmak üzere her sektördeki kuruluşlara platform bağımsız çözümler sunan İnnova, uluslararası standartlarda ürettiği çözümleri şimdiye kadar 4 kıtada 37 ülkeye ihraç etmeyi başarmıştır. 2007 yılından bu yana Türk Telekom Grubu Şirketleri bünyesinde yer alan İnnova Bilişim Çözümleri A.Ş, İstanbul ve Ankara ana ofislerinin yanı sıra Türkiye'nin çeşitli bölgelerine yayılmış 12 ofisi üzerinden faaliyetlerine devam etmektedir.

Aşağıdaki niteliklere uygun Bilgi Teknolojileri Sorumlusu arayışımız söz konusudur,

Bilgisayar Bilimleri ve Programlama Meslek Yüksek Okulu veya Üniversitelerin 4 yıllık ilgili bölümlerinden mezun (Bilgisayar, Elektronik, İstatistik vb.),
Tercihen kullanıcı (müşteri) desteği tecrübesine sahip,
İyi seviyede Windows tabanlı istemci ve sunucu platformlarının sistem yönetimi bilgisine sahip,
İyi seviyede bilgisayar donanım mimarisine sahip,
Temel seviyede Linux bilgisine sahip,
Temel seviyede TCP IP , LAN ,WAN ve network alt yapısı mimarisine sahip,
Telefonla ya da gerektiğinde yerinde kullanıcı desteği verecek,
Çağrı merkezine gelen problem ve talep bildirimlerini karşılayıp, inceleyip ve çözüm üretecek,
Çözülemeyecek durumda olan hataları ilgili birimlere yönlendirip, takibini yapacak,
Bu çalışmaları sözleşmede belirlenen hizmet seviyesine uygun olarak gerçekleştirecek,
Kurulu sistemler için, merkezi yönetim aracı vasıtasıyla takip/kontrol/müdahale işlemlerini yerine getirecek,
Destek verilen sistemlerden sorumluluğu kendisinde olanlar ile ilgili dokümantasyonları güncelleyecek,
Destek masası çalışmalarına gerekli durumlarda kendisi için belirlenen vardiya ve nöbet programına uygun olarak katılacak,
Destek verilen ürünler/hizmetler ile ilgili tespit edilen ve ürünün/hizmetin kalitesini kötü yönde etkileyen bulguları yöneticisine raporlayacak,
Tercihen benzer bir pozisyonda 2 yıl ve üzeri tecrübeye sahip,
Erkek adaylar için askerlik hizmetini tamamlamış,
Seyahat engeli bulunmayan,
Tercihen İstanbul Avrupa Yakasında İkamet eden,
Tercihen İngilizce bilen takım arkadaşları arıyoruz",300-500,2659,59
En az 2 yıl tecrübeli adaylar,NaN,Finans,Finans Uzmanı,İstanbul(Avr.)(Şişli),Prive Tekstil san. dış. tic. ltd. şti,"GENEL NİTELİKLER VE İŞ TANIMI
HAKKIMIZDA
Touché Privé, 2014 yılından beri hizmet veren ve genç ekibi, yenilikçi vizyonu, oyun değiştirici yapısı ile giyim sektörünü yeniden şekillendiren, Türkiye’nin en büyük kadın giyim markalarından biridir. Touché Privé olarak ürünlerimizi Türkiye, Avrupa, Amerika ve MENA bölgeleri başta olmak üzere dünyanın dört bir yanında müşterilerimizle ile buluşturuyoruz. Bunu yaparken yıllardır süregelen, sektörün geleneksel dinamiklerinden sıyrılıyor global anlamda kabul görmüş en iyi pratikleri uygulamaya özen gösteriyoruz.
Uluslararası pazarda öncü bir marka olma hedefi ile çıktığımız bu yolda her geçen gün büyüyen hedeflerimize ulaşmak için var gücümüzle çalışıyoruz. Her gün farklı ülkelerde farklı kanallardan daha fazla kullanıcıya ulaşmaya çalışıyoruz. Her gün daha fazla şey deneyimliyor, daha fazla bilgiyi hep birlikte öğreniyoruz. Hedeflerimize giden bu yolda dinamik, kendini geliştirme arzusuna sahip ve başarıya tutku ile bağlı takımımıza yeni arkadaşlar arıyoruz.

Sen de yeni bilgiye ve başarıya olan tutkunla aramızda yerini almak ister misin?

GENEL NİTELİKLER
Üniversitelerin analitik temelli bölümlerinden mezun, (Muhasebe, İktisat, İşletme Yönetimi, İstatistik)
Daha önce bütçe oluşturma faaliyetlerinde bulunmuş,
Tercihen perakende sektörü finansı, denetim veya bankacılık sektöründe deneyimli,
İleri derece Excel bilgisine sahip,
Tercihen İngilizce bilen,
Nebim V3 programına hakim,
Analitik düşünce yapısına hâkim, çözüm odaklı ve detaylara önem veren,
Dikkatli çalışabilen, gizlilik ilkesini benimsemiş,
Erkek adaylar için askerlik hizmetini tamamlamış,

İŞ TANIMI
Şirketin tüm departmanları ve satış kanalları için yıllık, sezonluk ve aylık bütçe oluşturma faaliyetlerinde görev almak,
Aylık planlanan bütçe-gerçekleşen bütçe karşılaştırması yapılması, bütçe sapmalarının analizi ve raporlanması,
Haftalık, aylık ve sezonluk nakit akışı tablolarını oluşturmak ve günlük takibini sağlamak,
Müşteri alacaklarını ve tedarikçi ödemelerini planlamak,
Kaynak verimliliğini sağlamak adına gerçekleşen satış, fiili maliyet hesaplamaları, stok, amortisman ve kur hesaplamaları yapmak ve yönetime raporlamak,
Haftalık, aylık, dönemsel finansal hareketlerin analizini, raporlamasını ve karşılaştırmasını yapmak,
Bilanço, gelir tablosu ve diğer mali tabloları zamanında ve hatasız hazırlamak.

Kadın giyim alanında yenilikçi ve modern vizyonu ile sektöre yön veren Touché Privé, Şişli Bomonti’de bulunan genel merkezinin Pazarlama departmanında çalışmak üzere Finans Uzmanı arıyor.",200-300,1077,4
En az 3 yıl tecrübeli adaylar,NaN,İnsan Kaynakları,IK Strateji ve Süreç Geliştirme Uzmanı,İstanbul(Avr.)(Bağcılar),LC WAIKIKI MAGAZACILIK HIZMETLERI TIC.A.S.,"GENEL NİTELİKLER VE İŞ TANIMI
Genel Nitelikler:
 •                         Üniversitelerin Veri Analizi,Süreç Geliştirme ve Sistem Geliştirme ile İlgili Bölümlerinden Mezun (Endüstri Mühendisliği,Matematik Mühendisliği,İşletme Mühendisliği, Bilgisayar Mühendisliği, İstatistik, Ekonometri,Sayısal Yöntemler, Vb.)
•                         Tercihen İş Süreçleri ile ilgili problemleri analiz etme ve çözmede kullanılabilecek Süreç Yönetimi ve Analizi Tekniklerinde Sertifikasyon/Yüksek Lisans Programlarını tamamlamış ve/veya devam ediyor olan,
•                         İleri derecede yazılı ve sözlü İngilizce bilen,
•                         En az 3 yıl  Süreç Yönetimi (analiz, tasarım ve sürekli iyileştirme) konularında deneyimi olan,
•                         Tercihen SQL yazılım dili konusunda uygulamalı tecrübe sahibi,
•                         MS Word, MS Excel, MS PowerPoint programlarını iyi düzeyde kullanabilmek,
•                         İletişim becerileri güçlü,
•                         Planlama ve organizasyon becerisine sahip,
•                         Raporlama ve analiz edebilme becerisi gelişmiş,
 İş Tanımı:
 •                         Operasyonel faaliyetler ile ilgili iyileştirme / geliştirme ve yalınlaştırma ihtiyaçlarının tespit edilmesi için süreç analiz çalışmalarını yürütmek, süreç iyileştirme / geliştirme önerilerini toplamak, şirket stratejik hedeflerine uygun öneriler ve metotlar geliştirmek, bunları önceliklendirmek ve aksiyon planlarına dönüştürmek,
 •                         Kurumsal amaçlar, hedefler ve stratejiler ile iş birimi hedeflerini hizalayabilmek için stratejik hedeflere uygun olarak kritik süreç ve aktivitelerin tespit edilerek, performans yönetimine girdi oluşturacak verileri sağlamak ve şirket stratejik hedeflerine uygun olarak süreç sahipleri ile birlikte mağazacılık TO-BE süreç hiyerarşisini oluşturmak, TO-BE süreç iş akışlarını modellemek, TO-BE nin hayata geçirilmesi için gerekli aksiyon planlarını iş birimi ile oluşturarak, takip etmek,
 •                         Tüm süreçlerde verimliliği artırmak ve maliyetleri minimize etmek amacıyla yürütülen proje, iş geliştirme çalışmaları sonuçlarına göre organizasyon & süreç iş akışı & prosedür & görev tanımı değişikliklerini yapmak,
 •                         Yerine getirdiği aktiviteler, görevler ve ilişkili olduğu süreçler ile ilgili standartların oluşturulması, karşılaşılan aksaklıkların azaltılması için iyileştirme, geliştirme önerilerinde bulunma, risk alanlarının tespiti durumunda bir üst yöneticiyi bilgilendirme ve kurumsallaşma ihtiyaçlarının karşılanması amacıyla yürüttüğü görev ve aktivitelerin çıktısından fayda sağlayacak kişi ve birimlerin bilgi seviyesinin arttırılması ve desteklenmesi için eğitim faaliyetlerinde görev almak.
 ",100-200,1429,13
En az 5 yıl tecrübeli adaylar,Yapıldı,Teknoloji,Ağ ve Güvenlik Sistemleri Uzmanı / Danışman,İstanbul(Avr.),İnnova Bilişim Çözümleri A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
İnnova Bilişim Çözümleri A.Ş, farklı teknolojilerde bilgi birikimine sahip 1400’ün üzerindeki profesyonel kadrosu ile Türkiye’nin önde gelen bilişim çözümleri firmasıdır. 1999’dan bugüne telekomünikasyon, finans, üretim, kamu ve hizmet sektörleri başta olmak üzere her sektördeki kuruluşlara platform bağımsız çözümler sunan İnnova, uluslararası standartlarda ürettiği çözümleri şimdiye kadar 4 kıtada 37 ülkeye ihraç etmeyi başarmıştır. 2007 yılından bu yana Türk Telekom Grubu Şirketleri bünyesinde yer alan İnnova Bilişim Çözümleri A.Ş, İstanbul ve Ankara ana ofislerinin yanı sıra Türkiye'nin çeşitli bölgelerine yayılmış 12 ofisi üzerinden faaliyetlerine devam etmektedir.
 Aşağıdaki niteliklere sahip Ağ ve Güvenlik Sistemleri Uzmanı / Danışman arayışımız  bulunmaktadır;
Bilgisayar Bilimleri ve Programlama Meslek Yüksek Okulu veya Üniversitelerin 4 yıllık ilgili bölümlerinden mezun (Bilgisayar, Elektronik, İstatistik vb.),
Tercihen kullanıcı (müşteri) desteği tecrübesine sahip,
Firewall sistem yönetimi konusunda tecrübeli (Fortinet, Juniper, Palo Alto)
Anti Virüs sistem yönetimi konusunda tecrübeli (Symantec)
SSL VPN sistem yönetimi konusunda tecrübeli (Juniper)
İleri seviyede TCP IP , LAN ,WAN ve network alt yapısı mimarisine sahip,
Kablolu ve kablosuz ağ yönetimi konusunda tecrübeli,
ISO 27001 konusunda bilgi ve tecrübeye sahip,
İleri seviyede Linux bilgisine sahip,
Telefonla ya da gerektiğinde yerinde kullanıcı desteği verecek,
Çağrı merkezine gelen problem ve talep bildirimlerini karşılayıp, inceleyip ve çözüm üretecek,
Çözülemeyecek durumda olan hataları ilgili birimlere yönlendirip, takibini yapacak,
Kurulu sistemler için, merkezi yönetim aracı vasıtasıyla takip/kontrol/müdahale işlemlerini yerine getirecek,
Destek verilen sistemlerden sorumluluğu kendisinde olanlar ile ilgili dokümantasyonları güncelleyecek,
Destek verilen ürünler/hizmetler ile ilgili tespit edilen ve ürünün/hizmetin kalitesini kötü yönde etkileyen bulguları yöneticisine raporlayacak,
Bu çalışmaları sözleşmede belirlenen hizmet seviyesine uygun olarak gerçekleştirecek,
Ekip çalışmasına uygun, yüksek tempoda ve motivasyonda çalışabilen,
Kolay iletişim kurabilen, problem çözmeye yatkın,
İnsan ilişkileri güçlü, ikna kabiliyeti yüksek,
Tercihen benzer bir pozisyonda en az 5 yıl ve üzeri tecrübeye sahip,
Erkek adaylar için askerlik hizmetini tamamlamış,
Seyahat engeli bulunmayan,
Tercihen İstanbul Avrupa Yakasında İkamet eden,
Tercihen İngilizce bilen takım arkadaşları arıyoruz",100-200,828,54
1 - 3 yıl tecrübeli adaylar,"Yapıldı, Muaf",Kalite,Veri Analiz Uzman Yardımcısı,Ankara,Ted Üniversitesi,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitemizde; Kalite Güvence ve Kurumsal Analiz Birimi’ nde “Veri Analiz Uzman Yardımcısı” pozisyonunda görevlendirilmek üzere, görev tanımında detaylandırılmış olan süreçleri uygun yetkinlikleri ile yürütebilecek takım arkadaşı arıyoruz:
Üniversitelerin Ekonometri, İstatistik, İktisat veya Matematik bölümlerinden mezun,
Benzer pozisyonda 1 – 3 yıl görev almış
Tercihen İstatistiksel Analiz ve Raporlama konusunda deneyimli
Veri analizi programlarına hâkim
MS/Office programlarını çok iyi derecede kullanabilen,
SAP bilgisine sahip
İyi düzeyde İngilizce bilgisine sahip (Okuma, yazma ve konuşma düzeyi akıcı)
Raporlama kabiliyeti gelişmiş, kontrol yönü güçlü ve analitik düşünce yapısına sahip
Takım çalışmasına yatkın ve iletişim becerisi kuvvetli
Zamanı etkin kullanabilen ve sonuç odaklı,
Değişime açık ve kavramsal düşünme yeteneği gelişmiş,
Erkek adaylar için askerlik ile ilişiği olmayan,
Ankara’ da ikamet eden

İŞ TANIMI:
Üniversite yönetiminin stratejik kararları için gerekli olan kurumsal verilerin toplanması, analiz edilmesi ve raporlanması,
Kurum içi/dışı bilgi bütünlüğünün sağlanması adına ilgili değerlendirmelerin yapılması ve sapmaların tespit edilmesi,
Kilit göstergelerin izlenmesi, değerlendirilmesi ve raporlanması,
Kurum içi anketlerin analiz edilmesi ve raporlanması,
Üniversite içi veri kalitesini arttırmaya yönelik ilgili analitik raporlama çalışmalarına destek verilmesi,
Kalite Yönetim Sistemi için yapılan çalışmaların sürdürülebilirliğine yönelik ihtiyaç duyulan alanlarda gereken operasyonel desteğin verilmesi",300-500,2806,10
